Title,Artist,Genre,Year,Duration
Hold the Line,Toto,Rock,1978,3:54
I'll Be Over You,Toto,Rock,1986,5:31
Lea,Toto,Rock,1986,5:31
What You Won't Do for Love,Bobby Caldwell,R&B,1978,3:43
Open Your Eyes,Bobby Caldwell,R&B,1982,4:12
Coming Down from Love,Bobby Caldwell,R&B,1983,4:01
I Give In,Bobby Caldwell,Smooth Jazz,1995,5:36
Don't Ask Me Neighbor,Bobby Caldwell,Smooth Jazz,1995,4:50
Until You Come Back to Me,Bobby Caldwell,Smooth Jazz,1995,4:23
Billie Jean,Michael Jackson,Pop,1982,4:54
Thriller,Michael Jackson,Pop,1982,5:57
Beat It,Michael Jackson,Pop,1982,4:18
Sailing, Christopher Cross,Adult Contemporary,1979,4:16
Say You'll Be Mine,Christopher Cross,Adult Contemporary,1979,2:54
Is There Something,Christopher Cross,Pop,1992,4:55
Don't Look Back in Anger,Oasis,Indie Rock,1995,4:47
Cast No Shadow,Oasis,Indie Rock,1995,4:54
Champagne Supernova,Oasis,Indie Rock,1995,7:30
Some Might Say,Oasis,Indie Rock,1995,5:27
